"","Precinct","RegisteredVoters","BallotsCase","Turnout","GovernorDem","GovernorRep","GovernorOther","SecretaryofStateDem","SecretaryofStateRep","SecretaryofStateOther","AttorneyGeneralDem","AttorneyGeneralRep","AttorneyGeneralOther","USSenateDem","USSenateRep","USSenateOther","USHouseDem","USHouseRep","USHouseOther","MISenateDem","MISenateRep","MISenateOther","MIHouseDem","MIHouseRep","MIHouseOther","MIBoardofEdDem","MIBoardofEdRep","MIBoardofEdOther","UofMRegentDem","UofMRegentRep","UofMRegentOther","MSUTrusteeDem","MSUTrusteeRep","MSUTrusteeOther","WSUGovernorDem","WSUGovernorRep","WSUGovernorOther","KCCDem","KCCRep","KCCOther","geo_id"
"72","Grand Rapids Ward 1 Precinct 9",2671,895,0.33,663,186,36,640,199,31,596,201,63,619,218,39,618,232,15,627,197,36,640,185,29,1013,347,151,984,361,124,1007,329,116,976,356,90,618,198,0,72
"73","Grand Rapids Ward 1 Precinct 10",1757,1061,0.6,636,373,31,643,360,31,582,384,55,640,381,22,578,418,20,616,374,26,652,331,25,1042,582,147,1001,587,127,992,595,112,966,583,100,577,369,0,73
"74","Grand Rapids Ward 1 Precinct 11",819,634,0.77,310,305,16,306,299,17,281,312,18,316,303,8,285,328,11,304,309,7,301,302,0,526,496,65,497,491,61,505,472,63,466,487,49,281,298,0,74
"75","Grand Rapids Ward 1 Precinct 12",1895,732,0.38,532,150,38,525,152,38,492,157,48,499,180,30,482,191,28,502,155,39,505,160,30,811,245,159,787,245,119,804,240,119,759,243,109,505,150,0,75
"76","Grand Rapids Ward 1 Precinct 13",2150,940,0.43,617,274,39,611,271,34,569,288,52,576,302,35,560,329,22,595,274,35,591,270,31,955,483,154,906,472,136,937,480,117,899,472,100,579,274,0,76
"77","Grand Rapids Ward 1 Precinct 14",2101,1271,0.6,789,412,58,777,408,61,693,428,96,758,444,49,682,520,31,762,414,56,760,429,0,1204,673,252,1137,662,190,1153,661,172,1115,657,153,773,369,0,77
"78","Grand Rapids Ward 1 Precinct 15",2003,573,0.28,475,68,22,479,67,16,446,70,35,461,77,28,462,80,15,466,61,30,475,61,17,764,109,94,764,116,67,763,114,68,761,117,55,458,70,0,78
"79","Grand Rapids Ward 1 Precinct 16",2074,678,0.32,543,96,28,547,96,23,510,99,38,534,103,26,521,115,18,534,87,36,549,86,19,811,149,124,805,153,92,808,153,76,810,151,70,525,99,0,79
"80","Grand Rapids Ward 1 Precinct 17",2352,1170,0.49,726,347,72,696,374,58,639,381,90,706,386,45,646,435,41,704,357,53,707,351,42,1104,596,222,1021,592,188,1046,592,171,1014,587,161,705,339,0,80
"81","Grand Rapids Ward 1 Precinct 18",1152,438,0.38,365,38,21,367,38,15,349,37,33,364,44,20,363,48,6,363,35,22,370,35,12,580,65,73,570,75,51,578,66,45,551,70,49,363,37,0,81
"82","Grand Rapids Ward 1 Precinct 19",2134,990,0.46,666,245,61,642,252,58,581,268,89,614,294,55,580,334,37,626,264,56,636,292,0,1008,438,238,946,436,214,953,430,200,941,458,158,609,274,0,82
"83","Grand Rapids Ward 1 Precinct 20",2160,1614,0.74,769,780,52,767,778,41,662,839,65,774,801,24,671,873,25,752,782,34,728,805,0,1202,1337,192,1154,1322,161,1169,1273,171,1089,1301,136,808,648,0,83
"84","Grand Rapids Ward 1 Precinct 21",1827,1363,0.74,626,702,27,604,696,37,529,745,60,579,753,21,521,783,32,586,731,24,573,742,0,901,1227,183,851,1224,137,867,1196,142,818,1184,133,510,726,0,84
"85","Grand Rapids Ward 1 Precinct 22",747,238,0.31,184,32,15,189,36,6,174,35,15,178,39,12,175,42,6,182,29,9,187,34,4,286,46,50,305,46,21,291,45,33,288,48,28,188,30,0,85
"86","Grand Rapids Ward 1 Precinct 23",1820,1338,0.73,629,664,33,616,656,27,539,700,47,620,676,21,526,751,15,614,666,24,584,677,0,977,1141,167,928,1119,136,917,1112,127,898,1096,108,524,652,0,86
"87","Grand Rapids Ward 1 Precinct 24",1782,479,0.26,404,41,28,403,35,20,381,30,45,389,50,21,384,53,17,383,34,35,397,33,19,609,54,82,603,57,65,591,52,74,598,57,56,382,43,0,87
