TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,"AndreaFischer
          Newman  (REP)
        ","Andrew
          Richner (REP)
        ","Jordan
          Acker (DEM)
        ","Paul
          Brown (DEM)
        ","JamesLewis
          Hudler (LIB)
        ","John
          Jascob (LIB)
        ","Joe
          Sanger (UST)
        ","CrystalVan
          Sickle (UST)
        ","KevinA.
          Graves (GRN)
        ","MargeKatchmark
          Sallows (NLP)
        ",WriteIn
Walker  Ward 1  Precinct 3,1996,1316,65%,519,485,496,479,35,32,21,39,22,15,16
Walker  Ward 2  Precinct 4,2243,1567,69%,750,700,451,436,38,37,22,32,16,16,5
Walker  Ward 2  Precinct 5,1904,1341,70%,632,588,401,376,31,24,12,24,18,14,4
Walker  Ward 2  Precinct 6,1880,1193,63%,536,504,381,357,31,31,24,33,12,16,4
Walker  Ward 3  Precinct 7,1966,1352,68%,545,533,469,429,36,32,13,25,31,18,8
Walker  Ward 3  Precinct 8,1759,1268,72%,681,658,323,298,26,26,16,25,18,9,3
Walker  Ward 3  Precinct 9,1981,1274,64%,571,517,468,416,31,28,21,37,26,20,8
Wyoming  Ward 1  Precinct 1,1870,915,48%,297,271,391,388,17,20,15,36,16,20,8
Wyoming  Ward 1  Precinct 2,1311,535,40%,156,139,238,231,11,11,14,13,14,6,3
Wyoming  Ward 1  Precinct 3,2130,940,44%,267,252,428,397,21,26,15,29,23,13,4
Wyoming  Ward 1  Precinct 4,2019,1071,53%,402,369,412,378,29,22,19,26,18,20,7
Wyoming  Ward 1  Precinct 5,2086,1037,49%,341,305,446,442,14,14,19,35,15,22,5
Wyoming  Ward 1  Precinct 6,1502,729,48%,231,201,336,327,20,17,15,30,23,13,6
Wyoming  Ward 1  Precinct 7,1890,1143,60%,544,511,375,364,19,29,9,20,18,12,3
Wyoming  Ward 1  Precinct 8,1230,576,46%,201,182,213,198,18,15,14,16,14,10,2
Wyoming  Ward 1  Precinct 9,2268,1029,45%,320,294,464,437,28,29,14,31,28,33,3
