TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,SamuelBagenstos,MeganKathleenCavanagh,ElizabethT.Clement,DougDern,KerryLeeMorgan,KurtisT.Wilder,WriteIn
Grand Rapids  Ward 3  Precinct 55,2164,1449,66%,303,530,688,62,126,565,14
Grand Rapids  Ward 3  Precinct 56,2007,1289,64%,235,440,602,30,157,552,3
Grand Rapids  Ward 3  Precinct 57,1234,805,65%,144,304,385,17,67,309,5
Grand Rapids  Ward 3  Precinct 58,1771,1130,63%,207,434,586,36,80,433,16
Grand Rapids  Ward 3  Precinct 59,2393,1610,67%,392,766,760,64,90,457,18
Grand Rapids  Ward 3  Precinct 60,2375,1329,55%,472,627,502,56,139,249,16
Grand Rapids  Ward 3  Precinct 61,899,571,63%,177,280,218,14,55,129,5
Grand Rapids  Ward 3  Precinct 62,1823,851,46%,199,343,312,30,127,255,15
Grand Rapids  Ward 3  Precinct 63,1860,891,47%,216,431,336,26,91,217,6
Grand Rapids  Ward 3  Precinct 64,1984,885,44%,187,348,391,32,96,227,16
Grand Rapids  Ward 3  Precinct 65,2000,965,48%,171,401,457,44,110,260,9
Grand Rapids  Ward 3  Precinct 66,2363,819,34%,204,331,258,40,130,170,19
Grand Rapids  Ward 3  Precinct 67,2799,1032,36%,254,483,329,52,136,229,19
Grand Rapids  Ward 3  Precinct 68,1642,1135,69%,393,571,392,18,80,272,10
Grand Rapids  Ward 3  Precinct 69,1359,983,72%,191,346,508,20,36,482,1
Grand Rapids  Ward 3  Precinct 70,1791,660,36%,187,297,208,28,85,113,24
Grand Rapids  Ward 3  Precinct 71,1695,957,56%,281,439,368,27,87,213,16
Grand Rapids  Ward 3  Precinct 72,871,603,69%,140,240,268,42,57,141,7
Grand Rapids  Ward 3  Precinct 73,1165,766,65%,157,289,344,50,59,243,12
Grand Rapids  Ward 3  Precinct 74,1371,808,58%,157,325,315,23,103,240,14
Grand Rapids  Ward 3  Precinct 75,1209,602,49%,140,281,230,27,61,143,10
Grand Rapids  Ward 3  Precinct 76,1577,653,41%,152,281,251,35,86,102,15
Grand Rapids  Ward 3  Precinct 77,1291,916,70%,210,428,425,30,73,262,5
Grand Rapids Charter Township  Precinct 1,1513,1075,71%,145,312,571,53,83,514,2
Grand Rapids Charter Township  Precinct 2,1016,738,72%,115,222,351,13,70,339,2
Grand Rapids Charter Township  Precinct 3,1812,1358,74%,267,492,711,22,67,625,3
Grand Rapids Charter Township  Precinct 4,1733,1263,72%,237,462,661,36,92,465,20
Grand Rapids Charter Township  Precinct 5,1863,1364,73%,228,542,703,42,82,499,16
Grand Rapids Charter Township  Precinct 6,1720,1276,74%,184,375,738,71,96,517,14
Grand Rapids Charter Township  Precinct 7,1043,669,64%,96,212,293,54,76,261,5
Grand Rapids Charter Township  Precinct 8,1783,1300,72%,216,420,649,18,114,597,12
Grand Rapids Charter Township  Precinct 9,1156,892,77%,117,251,487,21,36,473,8
Grandville  Precinct 1,1577,1029,65%,132,271,589,74,95,396,14
Grandville  Precinct 2,2014,1232,61%,157,370,541,93,156,533,10
Grandville  Precinct 3,2197,1391,63%,170,391,656,30,163,669,11
Grandville  Precinct 4,1979,1483,74%,234,424,799,25,76,796,4
Grandville  Precinct 5,2147,1489,69%,201,466,825,35,101,659,15
Grandville  Precinct 6,1655,1182,71%,102,369,699,47,73,509,10
Grattan Township  Precinct 1,1502,993,66%,121,318,522,42,64,445,6
Grattan Township  Precinct 2,1598,1133,70%,114,413,590,56,86,426,4
Kentwood  Ward 1  Precinct 1,2072,1009,48%,94,230,592,85,109,421,9
Kentwood  Ward 1  Precinct 2,2787,1711,61%,253,605,792,127,191,691,17
Kentwood  Ward 1  Precinct 3,1524,971,63%,124,295,455,23,113,443,12
Kentwood  Ward 1  Precinct 4,1385,654,47%,93,231,282,14,43,251,10
Kentwood  Ward 1  Precinct 5,1192,647,54%,98,231,315,30,57,211,15
Kentwood  Ward 1  Precinct 6,2226,1085,48%,113,407,554,62,123,384,8
Kentwood  Ward 1  Precinct 7,1944,1075,55%,187,339,550,53,118,384,18
Kentwood  Ward 1  Precinct 8,2348,1578,67%,215,512,785,104,209,697,8
Kentwood  Ward 1  Precinct 9,2145,1149,53%,189,380,481,37,148,466,13
Kentwood  Ward 2  Precinct 10,2150,1401,65%,248,488,666,35,80,631,9
Kentwood  Ward 2  Precinct 11,2803,1759,62%,307,634,956,56,143,671,15
Kentwood  Ward 2  Precinct 12,1551,929,59%,147,349,506,44,89,315,15
Kentwood  Ward 2  Precinct 13,2030,1206,59%,165,315,700,69,108,513,3
Kentwood  Ward 2  Precinct 14,787,514,65%,77,148,253,32,58,226,1
Kentwood  Ward 2  Precinct 15,2618,1231,47%,255,482,491,35,165,428,23
