TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,Tami Carlone (REP),Richard Zeile (REP),Judith P. Pritchett (DEM),Tiffany Tilley (DEM),Scotty Boman (LIB),John J. Tatar (LIB),Karen Adams (UST),Douglas Levesque (UST),Sherry A. Wells (GRN),Mary Anne Hering (WCP),Logan R. Smith (WCP),WriteIn
Grand Rapids Ward 3 Precinct 77,1291,916,70%,258,231,493,484,26,22,12,3,16,18,13,1
Grand Rapids Charter Township Precinct 1,1513,1075,71%,595,551,337,321,27,14,10,4,16,11,5,4
Grand Rapids Charter Township Precinct 2,1016,738,72%,342,324,284,260,17,13,6,3,8,16,9,0
Grand Rapids Charter Township Precinct 3,1812,1358,74%,642,598,551,508,38,23,15,5,12,23,9,4
Grand Rapids Charter Township Precinct 4,1733,1263,72%,574,519,527,500,38,19,10,4,23,31,10,9
Grand Rapids Charter Township Precinct 5,1863,1364,73%,591,542,580,539,38,22,11,5,16,19,10,4
Grand Rapids Charter Township Precinct 6,1720,1276,74%,569,523,489,485,38,28,17,8,15,28,24,5
Grand Rapids Charter Township Precinct 7,1043,669,64%,295,265,242,231,27,10,12,1,16,25,9,0
Grand Rapids Charter Township Precinct 8,1783,1300,72%,622,572,499,465,38,19,8,6,20,19,15,7
Grand Rapids Charter Township Precinct 9,1156,892,77%,480,457,276,265,31,19,15,8,6,16,8,2
Grandville Precinct 1,1577,1029,65%,475,430,335,335,35,35,20,10,15,21,20,4
Grandville Precinct 2,2014,1232,61%,571,511,416,391,51,37,18,9,24,36,22,5
Grandville Precinct 3,2197,1391,63%,715,645,416,375,54,34,13,8,15,41,33,6
Grandville Precinct 4,1979,1483,74%,787,733,475,436,42,26,12,9,19,31,26,5
Grandville Precinct 5,2147,1489,69%,803,746,479,424,38,16,21,12,17,29,21,4
Grandville Precinct 6,1655,1182,71%,644,605,359,337,35,21,7,6,9,30,14,2
Grattan Township Precinct 1,1502,993,66%,553,500,250,243,36,31,16,8,17,28,21,1
Grattan Township Precinct 2,1598,1133,70%,547,511,375,362,37,29,18,8,16,22,24,2
Kentwood Ward 1 Precinct 1,2072,1009,48%,401,362,402,386,19,20,16,8,10,29,26,2
Kentwood Ward 1 Precinct 2,2787,1711,61%,641,584,757,722,57,39,28,12,25,71,35,8
Kentwood Ward 1 Precinct 3,1524,971,63%,384,349,395,408,23,12,15,4,11,32,27,0
Kentwood Ward 1 Precinct 4,1385,654,47%,206,173,298,275,18,19,16,3,9,36,20,0
Kentwood Ward 1 Precinct 5,1192,647,54%,258,224,247,244,25,12,14,5,12,20,13,5
Kentwood Ward 1 Precinct 6,2226,1085,48%,413,378,442,399,26,19,21,6,20,36,29,3
Kentwood Ward 1 Precinct 7,1944,1075,55%,354,303,520,528,25,26,11,6,19,39,19,4
Kentwood Ward 1 Precinct 8,2348,1578,67%,689,611,656,628,43,24,20,10,19,44,30,2
Kentwood Ward 1 Precinct 9,2145,1149,53%,371,337,573,549,28,22,17,9,21,35,15,2
Kentwood Ward 2 Precinct 10,2150,1401,65%,522,489,649,589,41,29,21,11,11,29,16,2
Kentwood Ward 2 Precinct 11,2803,1759,62%,682,616,793,789,45,20,21,14,21,33,23,6
Kentwood Ward 2 Precinct 12,1551,929,59%,288,267,484,464,35,19,17,3,9,34,16,2
Kentwood Ward 2 Precinct 13,2030,1207,59%,525,491,485,474,14,6,18,4,19,28,19,5
Kentwood Ward 2 Precinct 14,787,514,65%,209,192,208,199,26,12,3,3,9,12,4,0
Kentwood Ward 2 Precinct 15,2618,1231,47%,288,242,711,694,31,26,19,8,27,50,28,10
Kentwood Ward 2 Precinct 16,2612,1825,69%,767,711,790,746,49,28,16,8,26,30,20,3
Kentwood Ward 2 Precinct 17,1674,765,45%,211,181,404,396,25,10,12,3,10,22,17,1
Kentwood Ward 2 Precinct 18,2017,1003,49%,283,246,505,480,27,22,17,9,21,54,16,2
Lowell Precinct 1,1606,965,60%,376,346,383,368,42,31,16,9,19,34,30,9
Lowell Precinct 2,1377,738,53%,318,291,254,228,35,21,13,3,7,25,22,1
Lowell Charter Township Precinct 1,2438,1661,68%,867,815,497,467,46,30,30,19,19,32,29,2
Lowell Charter Township Precinct 2,2269,1350,59%,603,531,458,436,56,50,26,8,26,51,26,5
Nelson Township Precinct 1,2306,1112,48%,561,499,288,271,33,21,39,15,15,49,32,4
Nelson Township Precinct 2,1580,968,61%,532,489,239,231,27,13,14,6,10,23,22,3
Oakfield Township Precinct 1,1557,983,63%,469,444,315,274,39,20,16,8,8,34,28,6
Oakfield Township Precinct 2,1812,1080,59%,569,502,303,290,24,14,32,8,22,50,36,4
Oakfield Township Precinct 3 ,1321,783,59%,392,359,255,230,22,19,14,6,4,26,18,1
