TOTALS: 252 of 252 Precincts ,Registered Voters,Ballots Cast,Turnout,Bill Schuette / Lisa Posthumus Lyons (REP),"Gretchen Whitmer / Garlin D. Gilchrist II (DEM)
",Bill Gelineau / Angelique Chaiser Thomas (LIB),Todd Schleiger / Earl P. Lackie (UST),Jennifer V. Kurland / Charin H. Davenport (GRN),Keith Butkovich / Raymond Warner (NLP),Write In
Grand Rapids Ward 3 Precinct 64,1984,885,44%,187,663,9,5,11,2,0
Grand Rapids Ward 3 Precinct 65,2000,965,48%,252,679,11,6,4,0,1
Grand Rapids Ward 3 Precinct 66,2363,819,34%,49,728,12,4,4,2,1
Grand Rapids Ward 3 Precinct 67,2799,1032,36%,61,929,11,3,3,2,1
Grand Rapids Ward 3 Precinct 68,1642,1135,69%,219,883,16,2,6,0,0
Grand Rapids Ward 3 Precinct 69,1359,983,72%,464,494,6,3,4,0,1
Grand Rapids Ward 3 Precinct 70,1791,660,36%,24,596,4,5,8,3,2
Grand Rapids Ward 3 Precinct 71,1695,958,56%,161,762,11,2,10,1,3
Grand Rapids Ward 3 Precinct 72,871,603,69%,152,437,8,2,1,0,0
Grand Rapids Ward 3 Precinct 73,1165,766,65%,242,494,13,2,2,0,0
Grand Rapids Ward 3 Precinct 74,1371,808,58%,194,566,24,3,10,1,1
Grand Rapids Ward 3 Precinct 75,1209,602,49%,72,498,12,5,9,1,0
Grand Rapids Ward 3 Precinct 76,1577,653,41%,38,583,8,8,4,2,0
Grand Rapids Ward 3 Precinct 77,1291,916,70%,271,622,9,3,5,1,1
Grand Rapids Charter Township Precinct 1,1513,1075,71%,616,430,12,1,8,1,0
Grand Rapids Charter Township Precinct 2,1016,738,72%,374,345,10,0,2,1,0
Grand Rapids Charter Township Precinct 3,1812,1358,74%,637,685,13,3,3,0,1
Grand Rapids Charter Township Precinct 4,1733,1263,72%,597,632,15,3,6,1,2
Grand Rapids Charter Township Precinct 5,1863,1364,73%,617,712,17,2,4,2,0
Grand Rapids Charter Township Precinct 6,1720,1276,74%,636,588,23,5,9,4,1
